ship_type,engine_power_kw,sfoc,cargo_load_pct,avg_speed_knots,distance_nm,wave_height_m,wind_speed_mps,current_speed_mps,monsoon_season,fuel_consumption_tons
Container,11679.37778,175.7295548,69.95064333,15.03655171,949.0155828,1.22579547,15.45571495,-1.241214592,0,250.8620297
Bulk Carrier,16477.18591,160.0,71.07213965,13.66887928,3684.61297,5.236240533,6.218507383,-1.275390332,0,1232.489696
Tanker,9852.45,185.36,86.98,9.85,160.32,1.38,4.83,1.18,1,32.8807
Container,14503.56538,201.8387296,61.58199859,13.74374163,3637.363737,1.927163172,12.1794046,-1.979727302,0,1349.84615
Container,12527.93539,191.1892264,56.63994339,11.10938291,4131.657715,0.882469842,14.6511095,1.963330972,0,1457.967247
Bulk Carrier,11886.11635,164.896422,85.86710837,16.88366239,4289.386835,2.335090716,15.48364243,-1.553705212,0,1067.933804
Bulk Carrier,15627.03809,186.713101,80.23022965,15.60680797,3959.374436,1.276051302,2.263506775,0.942592611,0,1038.14212
Bulk Carrier,27276.98,177.29,96.7,10.37,180.35,0.7,5.76,0.92,1,94.939
Container,16516.84044,191.4536012,68.89655477,8.216822834,3758.88592,3.107319008,4.925878575,1.658764743,1,2258.652271
Tanker,11187.84337,168.4933236,66.91829437,16.38027693,905.4992139,5.441812212,2.619725807,-0.529034105,1,187.0826392
Bulk Carrier,17142.21651,176.3602674,81.79647427,14.99095456,1497.814578,3.262657436,11.9937451,-1.532099543,0,645.9748235
Container,6896.52,186.39,75.59,12.56,142.12,2.71,5.57,0.6,0,18.0705
Container,13122.99612,209.3045934,77.20792785,15.3040066,1991.780199,1.680214116,10.99319223,-1.527726647,0,632.6726177
Bulk Carrier,9980.162517,170.7627156,98.60220724,11.7300635,2929.76383,3.53088144,10.65001145,-0.181403157,0,851.764931
Container,11411.02354,196.6751695,50.80476257,16.1692468,2621.801671,3.69806229,16.58695791,-1.552318774,1,786.8154853
Bulk Carrier,14091.03974,178.6055728,48.81013925,13.13687013,3328.628499,3.895843867,5.943133655,1.479568296,0,980.1251851
Tanker,17840.46,170.85,86.31,11.63,199.22,1.08,2.35,0.78,0,58.4812
Container,19359.04679,160.0,81.90766228,12.87347946,4464.113376,5.484859681,14.19505296,1.245892868,0,2322.319204
Container,15383.1869,184.0085065,58.70590188,10.91892852,701.9421742,2.750910449,8.855746351,0.494305445,0,288.138979
Tanker,13961.13241,175.2033143,73.44923365,13.65493614,1471.682855,2.138046408,12.24285096,-0.444117039,0,427.4912093
Container,15898.40187,188.4931251,88.68154095,13.74421989,514.9727068,2.351640618,15.89135604,1.247771114,0,220.4941587
Tanker,15704.45247,194.1546133,90.98677417,13.42101616,4257.785014,2.523534676,11.55188808,1.956496751,1,1839.846864
Tanker,22606.33,177.39,66.85,17.32,258.68,1.61,7.22,0.46,0,68.7799
Container,15591.19618,182.7024297,78.63232384,11.53816252,5429.960573,4.475195464,11.89723522,0.125034765,1,2845.098177
Container,18918.23,160.63,67.7,14.91,92.48,0.75,8.99,1.1,0,23.1086
Bulk Carrier,11444.1587,160.0,82.35686419,16.28965819,576.0740903,3.123181155,2.868540433,0.982857421,0,83.49559403
Bulk Carrier,11211.36949,181.0488302,59.68098067,17.50260035,3610.869559,5.834286656,2.164701178,1.692128858,0,616.3064691
Tanker,12731.35929,180.3262468,60.71417847,12.97494471,4642.754836,4.340610729,3.03414797,-0.283016646,0,1232.234799
Container,18613.39499,190.6434259,74.22753096,8.88026858,4920.733821,1.38027724,6.703582348,1.297700196,1,3066.059421
Tanker,17326.79563,160.0,89.55374091,12.33746213,2308.71524,0.995836997,9.6038965,-1.371112481,1,896.4358577
Container,16475.89205,208.0533419,74.08699275,14.21680181,3874.305966,1.679417754,17.49042279,-0.790484055,0,1875.19078
Bulk Carrier,9254.841207,218.5129735,75.80817714,16.50754281,3707.548594,2.346069907,13.36795215,1.265073572,0,730.3527503
Bulk Carrier,27483.76,162.19,63.26,11.01,47.82,0.77,9.7,0.48,1,22.4381
Container,18770.10851,185.8868746,44.39171268,10.62079251,3605.94734,2.014796862,6.715913619,0.392237909,1,1788.462582
Container,9049.87,165.19,94.23,11.8,69.21,0.77,8.18,0.28,0,10.7001
Container,13614.20681,177.976579,90.07050702,17.06527253,4410.834303,0.819688655,16.99579549,1.833185002,1,1039.841198
Bulk Carrier,16150.3212,160.0,83.00832137,14.23281059,3596.866804,1.41261343,2.433169004,1.16413993,1,874.6163572
Tanker,12003.2897,184.2680919,98.89386036,12.4726137,1276.914714,5.366032672,9.055205935,0.253119189,0,444.4600397
Bulk Carrier,17980.28,176.18,74.76,15.13,221.06,2.07,5.81,0.29,1,55.909
Tanker,8967.522727,160.0,95.32873266,12.8569507,3454.770225,4.168027153,12.89912916,0.145428071,1,882.2315624
Container,9843.712425,161.5183386,60.31072574,14.19049917,5636.683589,2.137292307,3.951377868,-1.47138939,1,968.2347259
Tanker,17989.74536,206.3509897,73.70851951,16.62758502,4942.868365,2.613912298,8.021747448,0.674523835,0,1685.695175
Container,20408.74925,220.0,41.21876369,12.85400376,3531.715009,3.519397051,3.089737237,-1.85473482,1,1937.223513
Container,26495.07,180.42,90.7,14.41,296.85,2.85,7.95,1.22,0,122.516
Tanker,11865.50575,208.5945422,74.39443974,8.0,4957.517761,3.645461317,2.168254681,-1.029671574,0,2314.732657
Container,24662.99757,197.3444635,82.14050976,14.74740828,4833.124967,0.59355362,3.420704986,-0.313597522,1,2290.045639
Bulk Carrier,13331.17068,184.0214009,72.98276822,8.0,3469.909002,1.069123515,11.69324162,-0.967032617,1,1741.17519
Bulk Carrier,9884.012257,189.5868559,57.91935082,12.97226836,3205.927183,1.479514793,13.73431864,-1.363297879,1,900.5284587
Bulk Carrier,20046.33506,175.8155423,89.14967615,15.13376199,4799.101771,2.053572693,12.79385674,0.95462063,1,2030.425878
Tanker,15047.49074,174.1046974,95.0876072,10.992021,987.9182683,4.074376004,16.63734274,1.706366471,0,465.7390031
Bulk Carrier,12789.37,162.12,69.61,8.48,223.22,1.56,6.25,0.08,1,57.4437
Tanker,22314.4,172.87,86.66,19.75,40.56,0.64,5.09,1.02,1,9.8319
Tanker,20973.711,185.1219684,41.34784681,16.51011514,698.7110097,2.716966442,3.801884296,0.462338676,1,223.8329741
Bulk Carrier,11676.75,180.98,51.2,14.83,122.69,0.72,5.17,0.65,1,20.0754
Tanker,19210.3727,162.8511723,91.13998115,13.68569545,5571.251762,4.845135097,11.79431198,1.484852709,1,2463.532893
Container,12123.74174,177.4098556,67.97121549,11.52371413,1945.826336,3.464939558,17.00119863,-1.127589745,0,743.1460951
Tanker,13881.77745,183.1832159,58.47289438,15.36239474,2086.860051,3.014154244,17.03280133,0.213840821,1,748.0033074
Container,13918.4353,192.7950291,81.3556448,8.758682089,3534.59817,5.803225629,3.609641147,0.069058833,0,1953.39628
Bulk Carrier,17846.65634,176.8729262,65.10173931,13.44384905,1363.865401,0.823366231,6.064648866,0.559272142,0,434.7946676
Bulk Carrier,17300.96754,168.2048474,67.33261426,16.93154445,4619.528817,3.283235399,12.47526149,0.419332954,1,1529.423741
Tanker,15192.76465,160.0,62.69489757,16.33854118,3243.414751,3.121566901,9.817060006,1.190860551,1,813.9704063
Bulk Carrier,15064.02749,170.8641824,56.52529769,10.70385141,4227.124642,5.201568061,5.552000118,1.015917851,0,1701.452852
Tanker,12808.38784,186.8563115,42.52768118,16.23781851,611.0145654,3.180241568,12.4107538,1.598297705,0,145.4802586
Container,13245.54192,160.0,73.68494117,13.66273454,3520.574894,5.094459074,16.19821802,0.049566295,0,1236.649358
Bulk Carrier,20299.32613,187.35781,84.56733851,14.21768417,4416.260193,3.682167741,8.344421711,-1.097498849,0,2191.454004
Bulk Carrier,23200.79757,187.9026092,70.02172236,17.31662665,5128.035131,0.798303988,17.3318496,0.220628745,0,2271.308704
Tanker,19296.65831,167.4078162,91.06308318,16.84580833,5083.803814,2.214435624,15.69677184,-0.377912461,0,1936.3864
Container,15272.08618,160.0,79.23003825,16.15672035,923.8064658,3.477574711,6.976840283,-1.541971056,0,239.8620619
Tanker,17977.87269,183.0627791,80.92233954,15.92190832,1803.043289,4.457862148,17.93548836,-0.081462246,0,795.2800021
Bulk Carrier,15926.26548,180.409673,57.28619259,19.81178547,4463.138751,2.859949931,2.610817572,1.056137506,0,820.3861796
Container,12319.98928,160.0,52.27667544,17.59495492,2142.882506,4.92121741,14.60617895,-1.871481963,1,559.0446609
Tanker,7877.92,179.91,58.93,18.42,14.54,0.69,8.57,0.69,0,1.3233
Tanker,12350.40343,188.4565028,52.67279785,12.60989848,2516.550796,1.936422926,11.94161533,-0.376519031,0,761.8003904
Container,15502.54895,167.3049302,40.5839918,15.27006554,4429.95091,5.81874744,11.33516208,0.603729745,0,1317.67053
Bulk Carrier,9473.669137,220.0,98.76097262,16.8049024,1645.679321,0.924694795,8.862830878,-0.333031118,1,351.2819137
Tanker,14741.41591,160.0,81.78769346,18.37666924,3183.948268,2.146618133,15.3319756,1.34896448,1,731.3330614
Container,10770.3235,160.0,94.54900128,11.15641849,3866.911841,3.053678337,15.90876357,1.787813949,0,1069.040964
Bulk Carrier,21661.81288,188.8495068,83.39910112,18.39046093,5864.234243,5.838971651,11.97829468,1.304587346,0,2685.82831
Tanker,18860.70913,198.2322293,88.34100884,11.01662957,2434.958959,4.38505128,17.98694358,-1.800088248,1,2174.980573
Bulk Carrier,13555.01463,171.7571293,57.80664347,13.3753105,3542.645213,1.02027641,9.5761204,-1.028703494,1,1017.841786
Tanker,13854.92779,188.9902147,73.87793831,13.13767281,5621.989137,4.718228914,11.7032805,-0.684297677,0,2282.918793
Bulk Carrier,16032.57152,182.3811208,99.0098648,16.70230017,4674.95453,4.581150418,5.915882959,0.51230756,0,1372.108381
Tanker,16155.07293,183.7745017,95.04446886,17.82164034,577.6743828,2.869502376,4.88144263,-0.288574198,1,147.3108643
Tanker,15810.01871,186.0057163,83.29170827,12.20325818,2470.110007,5.042875825,12.62074765,0.905697141,1,1168.846363
Tanker,11212.64542,176.4142932,80.85574942,17.33653581,5724.838918,0.725558024,12.71242146,1.675746792,0,1018.56645
Container,13859.46154,176.6842437,52.87030579,16.64631871,2157.77553,2.879441966,6.906142314,-0.096491124,0,503.8795305
Bulk Carrier,13438.30256,164.933077,71.61010557,16.30648349,2137.852101,3.366810156,15.90588094,-0.722689372,0,564.7189943
Bulk Carrier,12909.30297,193.0965834,46.52691951,13.2582935,1498.241864,4.116314166,4.356899154,0.920794611,1,466.7269877
Bulk Carrier,10062.62348,180.3741063,41.38087101,12.23426648,5955.323778,5.956259179,14.64605226,-1.085733555,1,1900.19353
Container,8296.105671,164.3200814,52.28644606,14.51191569,3802.73676,1.518532237,6.568966212,-0.346546813,1,571.2112276
Container,12466.29677,203.4937861,76.33661593,11.21121109,769.5032936,4.37457269,8.158608693,1.917635645,1,296.3466911
Tanker,19730.87731,193.8654476,71.44650789,11.45165845,4098.038699,3.118693507,17.9903544,1.377676377,0,2478.786256
Bulk Carrier,19587.91313,161.8494317,74.89424684,8.206685757,4933.407958,1.653936648,6.532755118,-0.58382129,1,2860.175695
Bulk Carrier,8365.22,166.23,86.01,15.85,268.52,1.82,4.31,0.9,1,29.0097
Tanker,13621.48516,192.959545,54.94294635,12.81652558,3570.664097,5.617192037,14.12532528,0.753065762,0,1366.255751
Container,21127.66963,195.0448282,49.03627568,15.35543976,4372.170226,3.252299317,14.00087818,0.575663579,0,2026.778957
Container,15232.62312,168.8775441,93.82301311,16.66655259,4376.45394,3.852910804,6.746937641,1.21180829,0,1062.94911
Bulk Carrier,19958.71365,188.5041907,63.1727402,13.57267616,1769.856588,5.236750554,9.67103462,-1.103795179,1,1128.310702
Bulk Carrier,19264.25,169.3680161,42.68781805,15.47331848,5952.526173,1.597278363,5.966254621,0.995006943,1,1824.690459
Container,13015.32211,211.7332172,50.14439693,17.94488994,3367.303045,1.442514867,11.77583078,-1.556011633,1,977.8352905
Bulk Carrier,15689.34402,196.7276109,70.61734196,12.25906917,5797.955193,3.957860736,16.62310372,0.179867093,0,3072.972722
Tanker,5390.029866,178.5525613,58.40064432,12.57407243,2090.523627,1.655402656,8.181213636,-0.582935644,1,258.8090241
Tanker,13547.0115,207.8920134,55.71483745,10.76535023,2816.113575,5.023125242,5.785669609,1.384536077,0,1200.812005
Tanker,15258.23364,169.8031202,92.35916539,14.3629284,4760.434721,1.502503047,16.08084706,-1.087428352,0,1791.509339
Container,14365.99,176.47,63.63,11.6,194.24,0.51,6.76,0.1,0,52.4709
Bulk Carrier,25872.01,186.41,79.46,9.49,164.89,1.33,6.46,1.4,0,89.2562
Container,18784.33252,209.7625894,79.64689241,14.98941823,3892.869476,3.211060718,7.586071562,-0.029364347,0,1727.572287
Container,13507.95048,200.4523004,56.99598046,14.11980275,3355.654183,5.042089285,9.050527092,-1.10811672,1,1283.878737
Bulk Carrier,16223.70543,160.0,60.04560726,15.23852829,1349.031928,5.451059068,12.16003718,1.999647919,0,420.0473052
Container,22521.95691,213.9827424,78.46969868,15.26196205,2955.267151,1.626953125,13.16797856,-1.267369073,0,1651.061681
Tanker,9386.853613,160.0,86.24787632,11.20489174,3953.255102,4.329840104,14.87529785,-0.245167481,0,1128.29122
Container,18579.63547,160.0,69.27770957,12.7934934,5309.342393,4.403414414,8.597498816,-0.616519329,0,2146.331961
Bulk Carrier,24103.81873,165.9677617,44.70450053,16.53803085,3620.352211,1.016424249,16.48552359,1.8858351,0,1411.580941
Tanker,14404.8546,199.177656,78.63901304,12.62398718,3138.981988,3.050661565,13.03205889,1.879223961,0,1246.249236
Container,10644.01806,202.1962873,96.62431126,15.40199799,3163.945969,4.800136948,14.62885321,1.905799162,1,887.7402272
Container,24029.3992,190.862342,66.89355455,17.52810096,4345.83936,1.201298881,3.098806224,-0.997668826,0,1618.259346
Bulk Carrier,12969.77309,161.7807829,64.97451262,19.3034616,3986.800474,3.31775555,2.800493272,-0.067698998,0,612.6016444
Bulk Carrier,21187.18235,177.1800847,68.21941774,13.72144266,1873.964588,2.198116079,2.625754509,-0.604431319,0,679.5563027
Bulk Carrier,11911.73554,197.2484674,58.6246159,12.54391639,735.6544947,1.848320294,4.417575214,-0.038196366,0,199.2079504
Tanker,25113.5211,177.0346496,91.59405342,18.86784921,3806.548197,5.379391134,8.675156342,1.971407375,0,1498.019048
Tanker,18074.88046,172.6662492,71.8304087,13.12663474,619.4965234,1.788931213,4.890227973,1.068318634,1,206.9132565
Bulk Carrier,5855.13,180.29,94.68,18.73,144.7,0.69,6.8,0.28,0,9.1275
Tanker,19634.86423,200.0904435,94.72632861,11.47540533,1908.334561,4.583735649,3.972711455,-0.870973179,0,1085.626811
Container,7860.761392,166.3601204,62.57806956,15.27867344,4151.085583,4.76599956,5.46378864,1.199163716,0,548.2860463
Tanker,12848.06,183.79,86.26,13.95,172.0,1.28,6.02,1.26,0,34.1917
Container,7450.64,187.13,60.48,14.34,74.23,0.71,6.01,0.18,1,8.4184
Bulk Carrier,14626.01512,183.2399834,64.74634082,15.84943671,1444.337573,5.485740499,2.170961137,-0.688393205,0,392.5063555
Container,10102.57,187.08,74.6,13.33,165.21,2.42,2.91,1.38,0,24.6499
Container,20902.25794,208.0551868,66.28060367,16.65095304,4204.006792,2.251724516,8.694625735,-1.519918943,1,1840.51673
Bulk Carrier,15462.75526,175.291423,47.27099628,17.28882547,1814.905683,2.585773764,17.81590155,-0.191986271,0,543.0646109
Container,18057.22365,174.8809278,91.80372806,9.791580949,5751.982621,5.488381909,16.15480528,1.604352434,1,4025.585064
Bulk Carrier,8955.445147,183.4209186,88.75352583,14.99320983,4249.556392,1.855812226,11.97192565,-0.442151281,1,897.5437903
Container,18989.54019,165.1341134,64.72008082,14.07029455,1213.359064,2.842312237,3.254703727,-0.726874945,1,432.0996153
Bulk Carrier,15086.51,186.64,83.05,14.96,40.79,2.06,9.81,1.04,0,9.0448
Container,14867.80045,160.0,70.9421106,14.23741547,5806.410137,2.396384695,11.89306994,1.604339009,1,1698.679069
Container,11480.81462,173.9553993,67.09173136,13.04365498,5892.23886,0.743617312,14.20951832,-1.112148664,1,1851.737514
Container,13925.38192,193.1363976,74.88364791,19.51155574,1961.937612,2.603620741,6.087261589,1.486963622,1,399.9727241
Container,20679.34849,204.4844482,42.8145749,11.62579894,2154.24165,0.838928154,7.181362425,1.681001014,0,1033.622296
Container,20821.42188,164.2339853,87.15387238,10.89918743,5455.409313,1.136378625,15.47401841,-1.014960738,1,3285.464637
Container,11814.17277,164.0394672,91.29154934,10.60371951,1693.430193,4.59755834,5.252781148,-1.383077234,0,560.872164
Tanker,18248.45917,219.5926065,67.21851697,18.83702654,4332.660523,0.94898096,11.90897422,-0.990043495,0,1561.768471
Container,7814.005958,160.0,69.24089991,16.37643876,3362.573369,3.992012262,5.755441902,-1.637023636,1,430.5883962
Container,10686.63455,162.6889613,87.46563185,17.07100289,5239.838515,0.926941962,11.65791645,1.635852933,0,866.474672
Tanker,15149.84191,177.1945648,95.17333276,14.51768643,2249.587435,3.674779982,5.409196988,-1.495785412,0,714.717807
Bulk Carrier,25075.07,163.16,87.8,14.89,204.09,2.73,7.21,1.4,0,60.8569
Bulk Carrier,11172.92267,160.0,61.09161793,15.73314145,3045.806171,5.089165114,2.786789447,1.469625608,0,466.3367456
Bulk Carrier,15677.07343,160.0,68.51345366,16.0585359,1081.029885,3.274210264,2.925353096,1.768467756,1,258.3739074
Tanker,10219.47819,184.5120892,60.83634291,15.59032472,1494.665904,4.914649407,17.67786971,-1.95645884,0,392.3964348
Container,16623.21353,175.6339184,78.91727426,13.26444646,3820.471429,2.096921984,15.56081236,0.101585916,1,1695.30979
Container,18867.72937,164.6655532,75.72659285,16.00512197,1252.67346,5.002570355,9.10081606,0.953977602,1,447.5030684
Bulk Carrier,14807.94747,182.4153542,68.8967702,11.72946524,2780.632812,1.397942261,14.53637982,-1.296749159,0,1134.468284
Bulk Carrier,19117.99132,191.9502324,64.8995769,10.49384627,4521.057785,2.211756454,17.37779647,-1.544169061,1,3557.868826
Bulk Carrier,16022.50314,196.063064,79.36402673,19.16162571,1787.909641,2.701590749,9.114946656,-1.824657501,0,498.3540738
Container,22155.6774,167.6021598,43.65126443,14.89056367,5980.259624,3.177257881,2.485128221,0.518141621,1,2168.206293
Container,19619.92092,172.026363,54.06185128,16.76207473,2792.384977,1.706854515,7.227497302,0.674796908,1,850.9738088
Container,17095.9989,172.6913177,75.89555044,15.84895877,2342.413132,5.020796942,8.776586711,1.466709025,0,699.5196258
Tanker,13317.35762,184.0333169,70.00662229,14.00568378,5246.497778,4.866649271,3.219553504,0.609291842,0,1353.118038
Container,14371.06911,197.137853,73.3637336,12.80570101,594.5923858,5.237925748,3.577912678,-0.066370248,0,218.392975
Tanker,15867.53626,202.5656146,44.02839757,12.10123916,2928.468286,4.357287532,3.545302599,1.862680202,0,989.8253278
Container,11801.14693,176.5387233,87.39599781,16.59825169,2415.735537,0.589533363,16.85384067,1.459689418,0,529.7294167
Tanker,22683.81867,194.5668845,42.76424258,16.77386824,977.3168073,5.275311997,14.29559555,1.599155205,1,522.1151386
Tanker,16296.27001,182.3187661,85.81744296,8.326859838,1565.861296,1.932024887,7.907449254,-0.299858004,1,906.6762043
Container,17494.00656,206.0731433,96.26051353,13.07921502,4060.422684,5.339452153,12.48985719,1.908669363,1,2604.128301
Bulk Carrier,10619.04388,160.0,56.62451054,9.193354701,1523.46191,3.293782922,14.42966016,-0.568168906,0,551.0075278
Tanker,17808.83045,165.584719,63.89154116,13.69433936,1513.61991,3.183786557,14.34725557,0.430746433,0,637.1904
Bulk Carrier,15718.17423,188.5633607,49.71336492,10.76845059,521.7631162,0.898506527,12.67115199,1.71439848,1,234.4848654
Container,17007.1767,184.9918619,75.45516778,14.47765837,2783.12802,2.99019018,5.534316827,0.26510441,0,906.3752696
Container,20804.77,168.38,66.27,9.52,286.91,1.57,2.39,1.35,0,120.1022
Bulk Carrier,7054.076532,185.6531558,52.75234797,13.64802684,2102.798327,2.043698377,14.71714655,-0.116095106,0,359.9416586
Container,17615.03571,175.3087393,60.25945861,15.4986049,4315.29462,5.738592153,5.532161664,-1.775800003,1,1729.392168
Container,21207.08,160.54,86.15,12.0,52.86,2.82,8.04,0.84,0,18.6084
Container,17183.40199,193.6018538,85.85937263,15.0638635,2327.232173,3.791582982,5.925096011,-1.78234079,0,854.9112627
Container,23294.12898,171.4704608,42.00875981,13.29217881,4688.669802,2.897297548,7.507324002,-0.849186998,0,2295.400776
Container,22642.84,169.97,74.6,13.11,97.36,1.78,3.6,0.65,0,34.345
Tanker,15373.32494,160.2750656,95.32881381,13.27818729,5719.216909,0.885233966,8.88800184,-0.245160957,0,1570.679488
Bulk Carrier,22556.98,181.21,60.19,12.7,12.13,1.73,8.97,1.05,0,4.8776
Tanker,19817.30505,174.9031549,58.88324455,17.22985969,3906.741135,1.556522937,3.176576514,1.514688543,0,967.7362244
Container,11914.21137,160.0,78.87776991,17.32845854,4144.830741,5.654849025,13.3477397,0.515697682,1,928.9189719
Tanker,24057.22,189.41,70.68,14.79,239.17,0.94,3.18,1.24,0,84.7818
Bulk Carrier,15928.72355,180.3199754,42.30877953,12.75721139,4672.244245,1.751502102,13.11066333,-0.845688896,0,1744.316509
Container,21753.75949,197.441473,80.71563323,17.52434424,4772.985054,2.735158104,9.411479193,0.096343043,0,1878.093822
Bulk Carrier,15982.13599,186.8137305,48.92162864,12.76249926,5976.488922,5.430723326,5.631078536,1.798397252,1,2378.008456
Container,21065.31522,172.163557,79.64991896,15.80519005,4027.1388,1.36646898,9.195359709,1.976227439,1,1412.362307
Bulk Carrier,11964.72226,191.2769446,59.28113889,20.50966416,3954.291267,5.626623079,11.18195398,0.204610132,0,822.3790219
Tanker,20416.03655,194.7972532,72.02331118,12.17781171,2956.068503,3.327778216,6.125438345,-1.863621217,0,1574.368747
Tanker,7651.91,188.36,62.82,8.17,31.75,2.72,8.3,0.59,1,6.2882
Tanker,7968.410063,178.5079664,71.48680577,11.74225461,5829.765566,2.623274366,13.17849094,-0.73021328,1,1459.369415
Container,11627.80954,164.0241249,86.89718849,14.58290849,608.9428285,0.607415855,4.993109288,1.921768962,0,100.3789293
Bulk Carrier,12723.10716,161.193678,50.51663553,12.62257688,3203.238678,5.095533471,17.02536676,-0.642610245,0,1109.34698
Bulk Carrier,20826.46495,171.7152596,92.34992694,12.20549618,511.6573301,4.045897821,16.01314435,-1.664322982,0,338.8588403
Container,14821.06128,210.1715769,75.28126172,21.06888391,840.482369,0.717839626,3.990633944,0.905877812,1,162.604282
Container,13643.53756,179.1607914,84.35052548,18.1930229,2773.309907,4.757437161,13.70583063,-1.961389788,1,876.2971172
Container,18645.61046,160.0,90.53396364,12.04743503,4508.601456,2.699359195,17.83024482,-0.978793774,1,2416.340779
Tanker,13310.64019,160.0,95.90598322,16.20256354,1762.911883,1.635242406,5.607807137,-0.218380592,0,382.7604055
Tanker,19112.0871,160.0,49.45305267,13.58226996,5456.467773,0.98533949,3.639094279,1.814176819,0,1475.586474
Tanker,8941.536379,220.0,54.83263817,12.24890928,4443.024632,1.013246295,16.65241431,-1.524784054,0,1252.482887
Tanker,6502.220084,198.0176014,48.94282341,19.12447689,1575.886594,5.143845217,13.68265528,-0.213815799,0,208.8572839
Container,17428.207,209.7346304,91.9274487,12.85101683,4074.324935,3.964952734,3.351051897,1.634930206,0,1520.291251
Tanker,16497.82477,190.3219209,85.5536928,14.60063276,5558.427681,3.856626029,13.54406688,0.160791233,0,2470.161183
Tanker,10086.54151,163.4960374,82.38013357,16.39007894,4115.795443,4.001240994,7.487279805,-0.076868017,1,743.1066601
Container,10331.58,164.56,98.41,9.06,149.03,1.03,8.93,1.14,0,31.6343
Tanker,9033.378088,177.2594117,82.15275677,19.03871879,5682.826105,2.045488706,9.794835115,1.262738811,0,705.1575077
Bulk Carrier,18228.36589,165.2754336,84.58835139,15.49130798,3511.485391,3.039055732,17.74866786,-1.858154895,0,1714.76681
Bulk Carrier,11277.92467,199.6374807,99.42264606,10.33474624,2875.816344,3.794500527,4.788576065,0.978649073,0,914.323978
Container,12621.11571,220.0,73.48709069,14.31212432,4933.613428,2.211685487,14.41946001,0.751343547,0,1726.231761
Tanker,16034.84053,160.0,41.9817405,17.03787301,3104.040093,5.385763185,6.78670672,-1.383763349,1,900.1284405
Container,19522.11,182.99,92.11,10.14,204.3,0.84,3.74,0.98,0,85.8282
Bulk Carrier,9583.529274,166.4597456,93.30241514,11.98614235,5811.707274,3.704558464,16.31725996,1.289040908,1,1533.381798
Container,13054.6952,219.6591648,45.85933983,12.47309714,2274.28053,2.489584393,16.8583496,1.226328252,1,980.830903
Bulk Carrier,13329.27759,204.2188486,44.81950745,10.66257288,4214.60613,2.593162052,5.625791864,0.284882743,0,1528.243806
Container,16527.2782,170.6560097,42.22996677,9.81633714,2885.453432,5.042851416,2.749711215,1.534312125,1,1250.248583
Bulk Carrier,12046.331,160.0440339,65.70157489,14.42613819,1464.008052,4.304107266,3.443384036,1.671782289,0,279.9730448
Bulk Carrier,22922.33647,160.0,81.76337976,11.47540263,5605.971779,1.460113793,15.64889522,1.727729826,0,2987.908299
Bulk Carrier,15525.94027,192.2553841,63.31673992,13.086016,5920.653516,1.930353707,10.76271689,-0.892525714,0,2243.104546
Tanker,23615.82626,160.0,66.27680864,17.83392621,2236.673062,1.83883237,10.79444858,-0.696499297,0,774.3724161
Container,8391.79893,162.355635,45.51359902,9.365530563,1593.800311,2.40306105,6.101253409,1.10864289,0,333.381011
Container,17205.70628,175.9121077,45.12722909,11.20326997,3619.063831,3.209604642,8.628030655,0.19316358,0,1501.114618
Container,18301.06332,204.3125738,51.93836311,9.040571177,4560.314695,2.901117131,2.61006201,0.325622641,0,2402.584935
Container,19824.92,176.65,54.97,14.53,81.52,1.13,8.84,1.07,1,22.1116
Container,14699.65916,182.9145659,64.24924949,19.38504257,5192.336262,0.994481587,16.8042986,1.16497189,1,1236.150376
Bulk Carrier,9454.126143,193.2759126,73.06684444,10.79073636,4716.806193,1.887618721,17.65127174,0.441351558,0,1332.900775
Bulk Carrier,16716.06597,160.0,90.43269012,15.27786565,2391.87258,5.865383139,5.757572048,1.124342581,1,835.4686579
Bulk Carrier,27495.32,168.98,77.92,9.73,60.12,2.2,9.02,1.04,0,30.2402
Bulk Carrier,17800.87156,171.0191612,63.83026577,15.08082296,1949.361476,4.552345195,11.81424624,-0.900572291,0,781.0943512
Bulk Carrier,8861.68281,170.9363582,72.93008322,17.6275322,1066.439124,0.99958414,16.16961623,-0.088937536,0,154.8824679
Tanker,18600.65093,168.3417592,81.65398492,10.92827139,543.0676978,3.159662873,7.376772906,-0.160525261,0,271.2672824
Bulk Carrier,20774.0516,170.6012519,64.291572,9.848536087,3893.440185,1.15489215,4.976026485,-1.768714563,0,2207.154558
Tanker,24006.91,162.2,76.95,12.51,258.72,1.36,6.7,0.47,1,93.6036
Tanker,19199.24496,170.487945,66.60121199,14.40167762,1052.395919,2.93744416,10.0043458,-1.535850744,1,450.2084674
Container,24660.27,162.63,94.73,19.55,10.47,1.87,7.02,0.33,0,2.4186
Bulk Carrier,13374.51702,176.7848781,46.4027466,14.5076523,2333.214719,3.946174083,4.760870818,-1.0901448,0,579.0401277
Bulk Carrier,16181.56703,166.774126,82.06400528,14.22574796,1796.911988,3.500337538,6.986432151,-0.913316874,1,648.5630512
Bulk Carrier,16834.58852,219.2592256,73.73687845,12.58303,3923.868698,1.726927582,12.66400019,1.716565548,0,1862.776161
Container,14055.23113,189.8485424,69.80510011,13.90843122,4687.614257,5.519256185,10.88144639,0.039229759,0,1651.496989
Container,14791.23147,195.954186,91.87404788,10.82184875,2828.325116,2.021504144,7.07090795,-1.481349844,1,1297.251953
